INSTNM,CITY,STABBR,ZIP,INSTURL,NPCURL,LATITUDE,LONGITUDE,ADM_RATE_ALL,ACTCMMID,SAT_AVG_ALL,UGDS,UG,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,UGDS_WHITENH,UGDS_BLACKNH,UGDS_API,UGDS_AIANOLD,UGDS_HISPOLD,UG_NRA,UG_UNKN,UG_WHITENH,UG_BLACKNH,UG_API,UG_AIANOLD,UG_HISPOLD,COSTT4_A,COSTT4_P,COST,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,DEBT_MDN,C100_4,UGDS_MEN,UGDS_WOMEN,C100_41
Bucknell University,Lewisburg,PA,17837,www.bucknell.edu,npc.collegeboard.org/student/app/bucknell,40.954489,-76.886275,0.307222787,30,1317,3528,3443,0.7885,0.0317,0.0527,0.0357,0.0003,0,0.0343,0.053,0.0037,0,0,0,0,0,0.0163,0.0139,0.8554,0.0302,0.0494,0.0029,0.0319,61060,0,61060,48498,48498,NULL,26352,0.8515,0.4799,0.5201,85.15
Tulane University of Louisiana,New Orleans,LA,70118-5698,tulane.edu,https://tulane.studentaidcalculator.com,29.939696,-90.120409,0.279505899,31,1342,7892,7353,0.7138,0.0898,0.0603,0.0348,0.0033,0.0009,0.0309,0.0286,0.0375,0.6888,0.1013,0.0426,0.0169,0.0409,0.0326,0.1272,0.6679,0.0752,0.053,0.0033,0.0408,61055,0,61055,48305,48305,NULL,21434,0.6951,0.4236,0.5764,69.51
Brandeis University,Waltham,MA,02454-9110,www.brandeis.edu/,www.brandeis.edu/sfs/calculator.html,42.364947,-71.254716,0.352159136,31,1369,3715,3282,0.4853,0.0501,0.0686,0.1281,0.0005,0,0.0261,0.1787,0.0624,0.4733,0.0421,0.1092,0.004,0.0488,0.0585,0.039,0.7553,0.0235,0.0954,0.0027,0.0256,61023,0,61023,47558,47558,NULL,26750,0.8528,0.4293,0.5707,85.28
Tufts University,Medford,MA,02155-5555,www.tufts.edu,https://npc.collegeboard.org/student/app/tufts,42.406994,-71.121689,0.172381252,32,1423,5143,4886,0.575,0.0402,0.0671,0.1102,0.0004,0.0002,0.0449,0.0811,0.0809,0,0,0,0,0,0.07,0.114,0.5522,0.0622,0.131,0.0014,0.0692,61000,0,61000,48643,48643,NULL,16900,0.879,0.4956,0.5044,87.9
Southern Methodist University,Dallas,TX,75275-0221,www.smu.edu,smu.edu/Admission/FinancialAid,32.845254,-96.784855,0.523990861,30,1316,6340,5662,0.6579,0.0494,0.117,0.0651,0.0028,0.0014,0.0331,0.0711,0.0021,0.7226,0.047,0.0618,0.0054,0.0836,0.0309,0,0.7531,0.0664,0.0588,0.0064,0.0844,60938,0,60938,45940,45940,NULL,19000,0.6736,0.4954,0.5046,67.36
Skidmore College,Saratoga Springs,NY,12866,www.skidmore.edu/,https://skidmore.studentaidcalculator.com/survey.aspx,43.092696,-73.785108,0.373399469,28,1241,2612,2451,0.6286,0.0364,0.0846,0.0597,0,0.0008,0.0394,0.0838,0.0666,0.6673,0.0399,0.0867,0.0065,0.0532,0.0102,0.1081,0.7691,0.0237,0.0359,0.0033,0.0498,60900,0,60900,47464,47464,NULL,18495,0.8466,0.4058,0.5942,84.66
Boston College,Chestnut Hill,MA,2467,www.bc.edu,https://npc.collegeboard.org/student/app/bc,42.337688,-71.171488,0.339103475,32,1380,9483,9764,0.6075,0.0401,0.1014,0.0952,0.0006,0.0001,0.0303,0.055,0.0697,0.6707,0.0521,0.0958,0.0026,0.078,0.0223,0.0932,0.7118,0.0437,0.0745,0.0033,0.0512,60690,0,60690,47436,47436,NULL,19000,0.8809,0.4633,0.5367,88.09
Swarthmore College,Swarthmore,PA,19081,www.swarthmore.edu,www.swarthmore.edu/admissions-and-aid/financial-aid-and-cost-information/prospective-students/net-price-calculator.xml,39.904081,-75.356066,0.170216606,32,1433,1530,1428,0.4183,0.0588,0.1346,0.1641,0.0013,0.0007,0.0784,0.098,0.0458,0.4445,0.097,0.1641,0.0073,0.111,0.0623,0,0.6071,0.0861,0.1422,0.0063,0.0959,60671,0,60671,46060,46060,NULL,16689,0.8871,0.4928,0.5072,88.71
Babson College,Wellesley,MA,02457-0310,www.babson.edu,www.babson.edu,42.296529,-71.269479,0.263106953,28,1272,2107,1751,0.3863,0.0479,0.0973,0.1144,0.0019,0.0005,0.0233,0.2682,0.0603,0,0,0,0,0,0.1953,0.1433,0.5288,0.0223,0.0737,0.0017,0.0348,60494,0,60494,45120,45120,NULL,26000,0.838,0.5316,0.4684,83.8
Brown University,Providence,RI,2912,www.brown.edu,https://npc.collegeboard.org/student/app/brown,41.827605,-71.404467,0.087443725,32,1435,6264,6029,0.4355,0.0669,0.1132,0.1285,0.0038,0.0016,0.0544,0.1157,0.0803,0,0,0,0,0,0.067,0.0902,0.5742,0.0602,0.1431,0.0048,0.0604,60460,0,60460,47434,47434,NULL,14465,0.8454,0.488,0.512,84.54
Carleton College,Northfield,MN,55057-4001,www.carleton.edu,https://apps.carleton.edu/admissions/afford/estimator/,44.462304,-93.154662,0.227727489,32,1408,2042,1936,0.6499,0.0387,0.0637,0.0901,0.0015,0.001,0.0455,0.0926,0.0171,0.6913,0.0463,0.0967,0.0065,0.0554,0.0181,0,0.8316,0.0294,0.0821,0.0026,0.0362,60401,0,60401,47736,47736,NULL,16000,0.9098,0.474,0.526,90.98
Stanford University,Stanford,CA,94305,www.stanford.edu/,www.stanford.edu/dept/finaid/undergrad/how/calculator/,37.426967,-122.168826,0.050869163,33,1465,7018,7886,0.3752,0.0591,0.1607,0.1979,0.0114,0.0038,0.1067,0.0819,0.0031,0.3586,0.0999,0.2307,0.0277,0.1342,0.0405,0.1012,0.4755,0.0733,0.21,0.0131,0.0865,60311,0,60311,45195,45195,NULL,12000,0.7622,0.5278,0.4722,76.22
University of Notre Dame,Notre Dame,IN,46556,www.nd.edu,financialaid.nd.edu,41.703058,-86.238959,0.211440702,33,1450,8427,8038,0.7067,0.0368,0.1045,0.0571,0.002,0.0005,0.0407,0.0457,0.0061,0.7628,0.0362,0.073,0.0068,0.0957,0.0192,0,0.8354,0.033,0.0388,0.0049,0.0688,60117,0,60117,46237,46237,NULL,20500,0.9071,0.5225,0.4775,90.71
Colgate University,Hamilton,NY,13346-1398,www.colgate.edu,www.colgate.edu/admission-financial-aid/financial-aid/net-price-calculator,42.8188,-75.535,0.262360904,31,1369,2865,2811,0.6723,0.0415,0.0845,0.0356,0.0007,0.001,0.0353,0.0873,0.0419,0.7388,0.0593,0.0529,0.0064,0.0611,0.0309,0,0.8378,0.0409,0.0502,0.0053,0.0349,60050,0,60050,48175,48175,NULL,15147,0.8969,0.4562,0.5438,89.69
Kenyon College,Gambier,OH,43022,www.kenyon.edu/,www.kenyon.edu/admissions-aid/financial-aid/cost-breakdown-by-semester/kenyon-net-price-calculator/,40.374408,-82.397977,0.250640543,30,1332,1651,1599,0.7371,0.0351,0.0606,0.0527,0.0055,0,0.0357,0.0442,0.0291,0.7896,0.0353,0.0625,0.0068,0.034,0.0206,0.0244,0.8643,0.0363,0.0275,0,0.0269,59960,0,59960,47330,47330,NULL,17525,0.8879,0.4543,0.5457,88.79
Harvard University,Cambridge,MA,2138,www.harvard.edu,college.harvard.edu/financial-aid/net-price-calculator,42.374429,-71.118177,0.059629684,34,1501,7236,9884,0.4527,0.0681,0.0984,0.1801,0.0022,0.0006,0.0651,0.1036,0.0292,0.386,0.0741,0.1594,0.0063,0.0682,0.0472,0.161,0.5069,0.0707,0.1421,0.0066,0.0655,59950,0,59950,43938,43938,NULL,7536,0.8575,0.5246,0.4754,85.75
Emory University,Atlanta,GA,30322,www.emory.edu,www.emory.edu/FINANCIAL_AID/,33.798836,-84.325782,0.268206339,31,1366,7730,6316,0.4072,0.0921,0.0712,0.2072,0.0018,0.0003,0.0298,0.1547,0.0357,0.4703,0.1035,0.2178,0.0033,0.0392,0.0214,0.0332,0.6661,0.0909,0.1537,0.0022,0.0325,59908,0,59908,45008,45008,NULL,17275,0.8404,0.4358,0.5642,84.04
University of Miami,Coral Gables,FL,33146,www.miami.edu/,public.cgcent.miami.edu/AttendanceCalculator/,25.720406,-80.27645,0.381773321,30,1330,10828,8955,0.4257,0.074,0.2157,0.0573,0.0013,0.0015,0.0278,0.1445,0.0523,0.4532,0.0781,0.0538,0.0025,0.2369,0.0899,0.0248,0.4664,0.1028,0.0468,0.0027,0.2666,59850,0,59850,44350,44350,NULL,18750,0.6848,0.4901,0.5099,68.48
Bryn Mawr College,Bryn Mawr,PA,19010,www.brynmawr.edu,npc.collegeboard.org/student/app/brynmawr,40.028541,-75.314988,0.404656319,29,1313,1303,1358,0.3638,0.053,0.0867,0.1159,0.0015,0.0008,0.0499,0.241,0.0875,0.4189,0.0644,0.121,0,0.0543,0.0766,0.0302,0.6583,0.0398,0.1664,0.0007,0.028,59760,0,59760,45540,45540,NULL,23000,0.7623,0,1,76.23
Lafayette College,Easton,PA,18042-1768,https://www.lafayette.edu/,https://npc.collegeboard.org/student/app/lafayette,40.700512,-75.209058,0.297460236,29,1300,2471,2279,0.6819,0.0478,0.0664,0.0312,0.0012,0.0004,0.0214,0.0793,0.0704,0.6627,0.0517,0.0442,0.0004,0.0521,0.0443,0,0.8758,0.0434,0.0162,0.0026,0.0176,59750,0,59750,46385,46385,NULL,23702,0.8833,0.531,0.469,88.33
Pomona College,Claremont,CA,91711-6319,www.pomona.edu,https://npc.collegeboard.org/student/app/pomona,34.098298,-117.711944,0.121910185,33,1454,1635,1574,0.4269,0.0667,0.1419,0.1297,0.0024,0.0012,0.0746,0.0893,0.0673,0.4579,0.0908,0.1378,0.0046,0.1071,0.0197,0.162,0.5635,0.0375,0.1372,0.0038,0.0762,59730,0,59730,45832,45832,NULL,9138,0.9005,0.4936,0.5064,90.05
Reed College,Portland,OR,97202-8199,www.reed.edu,https://npc.collegeboard.org/student/app/reed,45.480376,-122.63064,0.387259858,31,1383,1335,1366,0.591,0.018,0.1079,0.0562,0.003,0.0022,0.0846,0.0734,0.0637,0.5513,0.0344,0.0857,0.0119,0.0716,0.0315,0.202,0.6625,0.0059,0.0476,0.0139,0.0366,59595,0,59595,47760,47760,NULL,14345.5,0.6657,0.4659,0.5341,66.57
Hamilton College,Clinton,NY,13323,www.hamilton.edu,https://www.hamilton.edu/finaid/netpricecalculator,43.047809,-75.408853,0.263458884,32,1393,1890,1765,0.6423,0.0392,0.0783,0.073,0.0005,0,0.0286,0.0471,0.091,0.6775,0.0416,0.0767,0.0065,0.0492,0.0323,0.0079,0.8419,0.0397,0.0391,0.0023,0.0368,59590,0,59590,47820,47820,NULL,14500,0.859,0.4857,0.5143,85.9
Middlebury College,Middlebury,VT,5753,www.middlebury.edu,https://middlebury.studentaidcalculator.com/survey.aspx,44.009117,-73.176068,0.171690055,32,1379,2498,2292,0.6501,0.0292,0.0881,0.0677,0.0028,0,0.0472,0.1001,0.0148,0.6497,0.0367,0.09,0.0049,0.053,0.0816,0.0672,0.7308,0.0205,0.0462,0.0074,0.0462,59470,0,59470,46044,46044,NULL,15666,0.8889,0.486,0.514,88.89
